N°,Institucion,Departamento,Provincia,Distrito,Representante,Sector
1,Vida Instituto para la Proteccion del Medio Ambiente,Lima,Callao,Bellavista,Alfaro Medina  Arturo Enrique,Mujer y Poblaciones Vulnerables/Salud/
2,10 Veces Mejor   ,Lima,Lima,Lima,Cabezas Palomino  Juan Ricardo,Educacion/Mujer y Desarrollo Social/
3,Accion Cristiana Integral para el Desarrollo,Huánuco,Leoncio Prado,Rupa-Rupa,Navarro Tanchiva  Nelson,Educacion/Mujer y Desarrollo Social/Salud/
4,Acción Humanitaria sin Fronteras,Lima,Lima,Los Olivos,Pulido Castillo  Juan Guillermo,Educacion/Mujer y Desarrollo Social/Salud/
5,Acción para Ayudar,Piura,Piura,Castilla,Oviedo Rojas  Fany Marcela,Mujer y Poblaciones Vulnerables/
6,Agencia Adventista para el Desarrollo y Recursos Asistenciales - Perú,Lima,Lima,Miraflores,Vergara Serrano  Plinio Rogelio,Educacion/Mujer y Desarrollo Social/Salud/Otros/
7,Alcance Mundial - Perú,Lima,Lima,Pachacamac,Barriento  Juan Pablo,Mujer y Desarrollo Social/
8,Aldeas Infantiles SOS Perú - Asociación Nacional,Lima,Lima,San Isidro,Aphang Lam  Rober Liuwaifon,Mujer y Desarrollo Social/
,,,,,Martinez Pacheco  Nancy,
9,Alianza de Apoyo al INEN,Lima,Lima,Surquillo,Pun Salinas De Rivera  Flor Maria,Salud/
10,Alternativas Sociales de Desarrollo - Perú,Lima,Lima,Pueblo Libre,De La Torre Delgado  Julio Enrique,Salud/
11,Amazon Promise,Loreto,Maynas,Iquitos,Webster  Patricia Marie,Mujer y Desarrollo Social/Salud/
12,Ambassadors Medical Outreach And Relief Projects,Ucayali,Coronel Portillo,Campoverde,Mathews Paredes  Richard,Salud/
13,Ambiente y Desarrollo de las Comunidades del Perú,Lima,Lima,Miraflores,Xiaodong  Ji Wu,Educación/
14,AMG International Advancing The Ministeries Of The Gospel In Peru,Lima,Lima,San Isidro,Apon Izquierdo  Jose Agustin,Mujer y Desarrollo Social/Salud/
15,Amistad Perú Latinoamericana,Lima,Lima,La Molina,Sakay Honma  Oscar Mauricio,Educacion/Mujer y Desarrollo Social/
16,Andean Alliance,Lima,Lima,Santiago De Surco,Morris  Diana Bernita,Mujer y Poblaciones Vulnerables/
17,Angeles de Ayuda,Lima,Lima,San Juan De Lurigancho,Virreyra Duran  Tania Betsabe,Mujer y Poblaciones Vulnerables/
18,Aprendiendo a Triunfar,Lima,Callao,Callao,Dolorier Garcia  Juan Francisco,Mujer y Poblaciones Vulnerables/
19,APRONIA (Asociacion para la Protección del Niño y del Adolescente),Madre De Dios,Tambopata,Tambopata,Romero Roldan  Jennifer Christie,Mujer y Desarrollo Social/
20,Armonizar,Lima,Lima,San Borja,Lopez De Romaña  Carlos Bisso,Ambiente/Educación/
21,Armonizar Arequipa,Arequipa,Arequipa,Arequipa,Zegarra Aguilar  Adolfo Manuel,Educación/Mujer y Desarrollo Social/Salud/
22,Arpegio,La Libertad,Trujillo,Trujillo,Rodriguez Gonzalez  Joe,Educación/ Mujer y Poblaciones Vulnerables/
23,Asica Tumi ONG,Lima,Lima,San Borja,Egusquiza Molina  Ernesto Oswaldo,Desarrollo e Inclusión Social/Educación/Salud/
24,Asis Peru Internacional,Lima,Lima,Lince,Alburqueque Vilcherrez  Santos Sabino,Cultura/ Mujer y Poblaciones Vulnerables/Ambiente/ Trabajo y Promoción del Empleo/
25,Asociación Santa María de Nazaret y Divino Niño - Asamnadin,Lima,Lima,Villa El Salvador,Huaman Ortega  Irene,Mujer y Poblaciones Vulnerables/
26,Asociación Achalay                                                                                                      ,Lima,Lima,Santiago De Surco,Aubert Maillefer  Nelly Fernande,Mujer y Desarrollo Social/Salud/
27,Asociación Albergue para Enfermos de Cancer Señor de la Divina Misericordia,Lima,Lima,Surquillo,Therese Huamani  Nelly Isabel,Mujer y Desarrollo Social/
28,Asociación Amigos de Villa,Lima,Lima,Villa El Salvador,Tenorio Moron  Nolberto Emilio,Educación/
29,Asociación Angelitos Perú,Lima,Lima,Lima,Delgado Barreda  Rosa Maria,Mujer y Poblaciones Vulnerables/
30,Asociacion Aprendo Contigo,Lima,Lima,Miraflores,Vargas Ghersi  Pamela Romina Martina,Educación/Mujer Y Desarrollo Social/Salud/
31,Asociacion Arco Iris,Ancash,Huaraz,Huaraz,Stunt Puyoles  Elisabeth,Salud/
32,Asociación Asistencial Multisectorial En-Hacore Manantial del Que Clama,Lima,Lima,Lima,Caycho Alfaro  Magda Francisca,Educación/Mujer y Desarrollo Social/
33,Asociación Bautista del Sur del Perú,Tacna,Tacna,Coronel Gregorio Albarracin,Derek Morrow  Trevor William,Educación/Salud/
34,Asociación Bautista Hogar para Menores Nueva Esperanza,Arequipa,Arequipa,Cerro Colorado,Rivera Loaiza  Felix Bertin,Mujer y Poblaciones Vulnerables/
35,Asociación Bautista Manantial de Amor,Lima,Lima,San Juan De Lurigancho,Lopez Villar  Jorge Luis,Educacion/Mujer y Desarrollo Social/
36,Asociación Beit Jabad Lubavitch del Perú,Lima,Lima,San Isidro,Blumenfeld Pulner  Schneur Zalman,Mujer y Desarrollo Social/
37,Asociación Benéfica de Rehabilitación Misión por los Niños,Lima,Callao,Bellavista,Nole Mauricio  Jeannette Phaola,Educacion/Mujer y Desarrollo Social/Salud/
38,Asociación Benéfica Maria Echevarria Saona,Lima,Lima,Santiago De Surco,Gutierrez Echevarria  Juana Cristina,Mujer y Desarrollo Social/Salud/
39,Asociacion Benefica Prisma                                                                                       ,Lima,Lima,San Miguel,Haustein Van Ginhoven  Carmen Delia,Educación/Salud/
40,Asociacion Benefico Cristiana Promotora de Desarrollo Integral,Cusco,Cusco,Cusco,Bardales Arrue  Yracema Del Pilar,Educación/Salud/
41,Asociación Betsaida,La Libertad,Trujillo,Trujillo,Pinedo Patrnogic  Luis Ricardo,Educación/
42,Asociación Bridge The Gap Inc,Loreto,Maynas,Iquitos,Bobst  Charles Lester,Educacion/Salud/
43,Asociación Casa Chapi,Arequipa,Arequipa,Arequipa,Tejeda Barzola  Mario Alejandro,Mujer y Poblaciones Vulnerables/
44,Asociación Casa Hogar Padre Martinho,Lima,Lima,Santiago De Surco,Alatrista Perez  Jorge Abel,Educacion/Salud/Otros/
45,Asociación Centro Cristiano Reto a la Esperanza,Lima,Lima,Magdalena Del Mar,Jara Dora  David Esteban,Educacion/Mujer y Desarrollo Social/Salud/
46,Asociación Centro Cristiano Vida Abundante                                                                             ,Loreto,Maynas,San Juan Bautista,Unterschuetz  Bruce Gotlieb,Cultura/Educacion/
47,Asociación Centro Social Hijos De Ponto (ACSHP),Lima,Lima,Puente Piedra,Vilca Verde  Marino Maximo,Educacion/Mujer y Desarrollo Social/
48,Asociacion Chami Radio 1140,Lima,Lima,Pueblo Libre,Doorack Lober  Ralph Joseph,Educación/
49,Asociacion Chico Latino,Cusco,Cusco,San Sebastian,Mendoza Huaman  Alfonso,Educacion/Mujer y Desarrollo Social/
50,Asociacion Ciudad De Los Niños De La Inmaculada,Lima,Lima,San Juan De Miraflores,Costa Montoya  Angel,Educacion/Salud/Trabajo Y Promocion Social/Pcm/
51,Asociacion Cívica al Desarrollo Regional Perú (Asociader-Perú),Lima,Callao,Callao,Morales Huete  Lucio Basilio,Educacion/Salud/
52,Asociacion Civil Divino Niño Jesus,Lima,Lima,San Borja,Gupio Alvarado De Asmat  Maria Julia,Salud/
53,Asociacion Civil Properu Service Corps,Cusco,Cusco,Wanchaq,Webb Mannock  Richard Andrew,Educación/Mujer y Desarrollo Social/Salud/
54,Asociacion Civil -ONG- Ayudando Peru,Lima,Lima,Jesus Maria,Barnuevo Kaisen  Ricardo Alberto,Mujer y Poblaciones Vulnerables/Desarrollo e Inclusión Social/
55,Asociacion Civil Abrigo Y Proteccion Al Desamparado,Lima,Callao,Callao,Villacorta Linares  Aida,Educacion/Mujer y Desarrollo Social/Salud/
56,Asociacion Civil Centro de Producción y Vida Rural Carolina del Norte,Piura,Sullana,Bellavista,Vigo Flores  Jose,Educacion/Mujer y Desarrollo Social/
57,Asociacion Civil contra el Hambre y la Miseria en Paramonga,Lima,Barranca,Paramonga,Ortega Narvaez  Jose Domingo,Mujer y Desarrollo Social/
58,Asociación Civil contra el Tabaquismo y de Promoción de Donación de Organos,Lima,Lima,Lince,Iturregui Obregon  Mario,Salud/
59,Asociacion Civil de Apoyo Permanente a La Niñez,Lima,Lima,San Borja,Rodriguez Chavez De Diaz  Zoila Aurora,Educación/Mujer y Desarrollo Social/Salud/
60,Asociación Civil de Personas con Discapacidad Corazones Unidos con Esperanza del Bajo Piura,Piura,Sechura,Vice,Lopez Amaya  Maria Rosa,Educacion/Salud/
,,,,,Rivas Agurto  Walter Eduwin,
61,Asociación Civil Deportiva y Cultural Agremiacion Deportiva del Callao,Lima,Callao,La Perla,Rivera Chauca  Oscar Lizardo,Mujer y Poblaciones Vulnerables/
62,Asociacion Civil Derechos Humanos Peru,Lima,Callao,Callao,Carbajal Aquise  Williams Jesus,Educacion/Mujer y Desarrollo Social/
63,Asociacion Civil Diospi Suyana Radio & Tv,Apurimac,Abancay,Curahuasi,Dieter John  Klaus,Mujer y Poblaciones Vulnerables/
64,Asociación Civil Ilo ONG'D,Moquegua,Ilo,Ilo,Manrique Ramos  Jose Alberto,Mujer y Desarrollo Social/Salud/
65,Asociacion Civil Impacta Salud y Educación,Lima,Lima,Barranco,Ojeda Celi  Jose Joaquin,Educacion/Salud/
,,,,,Sanchez Fernandez  Jorge Luis,
,,,,,Villaseca Carrasco  Raul,
66,Asociación Civil La Estrellita de Dios,Lima,Callao,Callao,Gonzales Vertiz  Oscar Alejandro,Mujer y Poblaciones Vulnerables/
67,Asociacion Civil Living Water International Peru,Cajamarca,Cajamarca,Cajamarca,Rivera Cueva  Jaime Rafael,Salud/Trabajo y Promocion Social/
68,Asociacion Civil Madres Unidas Independientes,Lima,Lima,San Martin De Porres,Ormeño Huaman  Leonor,Mujer y Desarrollo Social/
69,Asociacion Civil Monte Sion,Cajamarca,Cajamarca,Cajamarca,Chavez Moya  Helmer Julio,Educacion/Mujer y Desarrollo Social/Salud/
70,Asociacion Civil Nuestra Señora del Valle,Junín,Huancayo,Huancayo,Barreto Jimeno  Pedro,Educacion/Mujer y Desarrollo Social/Trabajo y Promoción Social/Otros/
71,Asociacion Civil Organismo No Gubernamental De Desarrollo - Apoyo a los Niños Desamparados y Adulto Mayor,Lambayeque,Chiclayo,Pimentel,Jimenez Garcia  Martha Dominica,Educación/Mujer y Desarrollo Social/
72,Asociacion Civil Organismo No Gubernamental De Desarrollo Asistencia Social Integral Para Mejoras De Condicion De Vida - Asimcv,Lambayeque,Chiclayo,Pimentel,Chuquizuta Mendoza  Emerson,Mujer y Poblaciones Vulnerables/
73,Asociación Civil Organismo No Gubernamental de Desarrollo Oasis de Esperanza,Cajamarca,Chota,Chota,Osores Quispe  Manuel Absalon,Cultura/ Mujer y Poblaciones Vulnerables/Educación/
74,Asociacion Civil Organismo No Gubernamental En Desarrollo El Buen Sembrador,Cajamarca,Jaen,Jaen,Estela Huerta  Aquior,Mujer y Poblaciones Vulnerables/Agricultura y Riego/Economía y Finanzas/
